Date,Timestamp,Number of cases
2020-01-30,1580342400,1
2020-01-31,1580428800,1
2020-02-01,1580515200,1
2020-02-02,1580601600,2
2020-02-03,1580688000,3
2020-02-04,1580774400,3
2020-02-05,1580860800,3
2020-02-06,1580947200,3
2020-02-07,1581033600,3
2020-02-08,1581120000,3
2020-02-09,1581206400,3
2020-02-10,1581292800,3
2020-02-11,1581379200,3
2020-02-12,1581465600,3
2020-02-13,1581552000,3
2020-02-14,1581638400,3
2020-02-15,1581724800,3
2020-02-16,1581811200,3
2020-02-17,1581897600,3
2020-02-18,1581984000,3
2020-02-19,1582070400,3
2020-02-20,1582156800,3
2020-02-21,1582243200,3
2020-02-22,1582329600,3
2020-02-23,1582416000,3
2020-02-24,1582502400,3
2020-02-25,1582588800,3
2020-02-26,1582675200,3
2020-02-27,1582761600,3
2020-02-28,1582848000,3
2020-02-29,1582934400,3
2020-03-01,1583020800,3
2020-03-02,1583107200,5
2020-03-03,1583193600,6
2020-03-04,1583280000,28
2020-03-05,1583366400,30
2020-03-06,1583452800,31
2020-03-07,1583539200,34
2020-03-08,1583625600,39
2020-03-09,1583712000,48
2020-03-10,1583798400,63
2020-03-11,1583884800,71
2020-03-12,1583971200,81
2020-03-13,1584057600,91
2020-03-14,1584144000,102
2020-03-15,1584230400,112
2020-03-16,1584316800,126
2020-03-17,1584403200,146
2020-03-18,1584489600,171
2020-03-19,1584576000,198
2020-03-20,1584662400,256
2020-03-21,1584748800,334
2020-03-22,1584835200,403
2020-03-23,1584921600,497
2020-03-24,1585008000,571
2020-03-25,1585094400,657
2020-03-26,1585180800,730
2020-03-27,1585267200,883
2020-03-28,1585353600,1019
2020-03-29,1585440000,1139
2020-03-30,1585526400,1326
2020-03-31,1585612800,1635
2020-04-01,1585699200,2059
2020-04-02,1585785600,2545
2020-04-03,1585872000,3105
2020-04-04,1585958400,3684
2020-04-05,1586044800,4293
2020-04-06,1586131200,4777
2020-04-07,1586217600,5350
2020-04-08,1586304000,5915
